Date ID,Is Weekday,Financial Year,Day,fkDayOfWeek,Financial Quarter Number,Financial Month,Financial Week,Financial Day,Financial Month Number,Day of Week Short Name,Financial  Year,Financial Month Short Name,Financial  Month,Financial Month Year Sort,Financial Quarter With Year,Financial Quarter Short,Week Ending Date
01-Jun-22,True,2022,1,4,4,12,1,332,24276,Wed,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/5/2022
02-Jun-22,True,2022,2,5,4,12,1,333,24276,Thu,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/5/2022
03-Jun-22,True,2022,3,6,4,12,1,334,24276,Fri,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/5/2022
04-Jun-22,False,2022,4,7,4,12,1,335,24276,Sat,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/5/2022
05-Jun-22,False,2022,5,1,4,12,1,336,24276,Sun,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/5/2022
06-Jun-22,True,2022,6,2,4,12,2,337,24276,Mon,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
07-Jun-22,True,2022,7,3,4,12,2,338,24276,Tue,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
08-Jun-22,True,2022,8,4,4,12,2,339,24276,Wed,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
09-Jun-22,True,2022,9,5,4,12,2,340,24276,Thu,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
10-Jun-22,True,2022,10,6,4,12,2,341,24276,Fri,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
11-Jun-22,False,2022,11,7,4,12,2,342,24276,Sat,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
12-Jun-22,False,2022,12,1,4,12,2,343,24276,Sun,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/12/2022
13-Jun-22,True,2022,13,2,4,12,3,344,24276,Mon,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
14-Jun-22,True,2022,14,3,4,12,3,345,24276,Tue,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
15-Jun-22,True,2022,15,4,4,12,3,346,24276,Wed,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
16-Jun-22,True,2022,16,5,4,12,3,347,24276,Thu,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
17-Jun-22,True,2022,17,6,4,12,3,348,24276,Fri,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
18-Jun-22,False,2022,18,7,4,12,3,349,24276,Sat,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
19-Jun-22,False,2022,19,1,4,12,3,350,24276,Sun,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/19/2022
20-Jun-22,True,2022,20,2,4,12,4,351,24276,Mon,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
21-Jun-22,True,2022,21,3,4,12,4,352,24276,Tue,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
22-Jun-22,True,2022,22,4,4,12,4,353,24276,Wed,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
23-Jun-22,True,2022,23,5,4,12,4,354,24276,Thu,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
24-Jun-22,True,2022,24,6,4,12,4,355,24276,Fri,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
25-Jun-22,False,2022,25,7,4,12,4,356,24276,Sat,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
26-Jun-22,False,2022,26,1,4,12,4,357,24276,Sun,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,6/26/2022
27-Jun-22,True,2022,27,2,4,12,5,358,24276,Mon,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,7/3/2022
28-Jun-22,True,2022,28,3,4,12,5,359,24276,Tue,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,7/3/2022
29-Jun-22,True,2022,29,4,4,12,5,360,24276,Wed,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,7/3/2022
30-Jun-22,True,2022,30,5,4,12,5,361,24276,Thu,FY 2021-2022,Jun,Jun-2022,202212,Qtr 4-FY 2022,20224,7/3/2022
