PayingAccountCodeID,Customer Name (RG),ExcludeSurcharge
HIT5,Torp Inc,0
PLU4,Cronin LLC,0
419400,Kutch - Watsica,0
TRI18,"Strosin, Doyle and Johnson",0
FAS14,Okuneva Group,0
HOM9,"Jenkins, Wuckert and Gislason",0
MYD1,"Bailey, Shanahan and White",0
BOC98,Kovacek Group,0
SAQA,Baumbach Inc,0
HIL11,"Hane, Mante and Roob",0
TMS60,"Bergstrom, Ankunding and Turner",0
COO10,"Roob, Brakus and Walter",0
BET13,Jacobi LLC,1
QMRCC,Smith - Franecki,0
ROW3,Gorczany - Connelly,0
COU12,Reynolds - Green,0
PALLET,"Anderson, Shanahan and Hand",1
FOR24,Runte Group,0
TIC2,Mayer - Schulist,0
FAR8,"Parker, Williamson and Sipes",0
LAU9,"Hartmann, Kassulke and Walsh",0
8317,Gorczany Group,1
LUX1,Hammes - Welch,0
BOC7,Goldner - Lynch,0
VAL16,Kulas - Cassin,0
BAM7,Wilkinson - Schoen,0
MAT7,Russel LLC,0
TMA2,"Crist, Marks and Johns",0
RIC3,"Champlin, Koch and Ferry",0
JON8,"Hackett, Hilll and Wolff",0
CYG1,Lowe - Bosco,0
YAM5,Bergnaum and Sons,0
IDE4,Klocko - Bogan,0
SAA2,Carroll and Sons,0
STO17,Hickle and Sons,0
QCRSB,"Gulgowski, Monahan and Bradtke",0
RED18,Hilpert - Wehner,0
ABB1,"Crona, Dietrich and Little",0
SCH32,Tromp - Berge,1
VNOPC,"Mills, Barrows and Jacobson",0
MEA5,"Smitham, Turner and Deckow",0
021C,Blanda - Morissette,1
BEA17,Ward - Dooley,0
BEL13,Lemke and Sons,0
CRE8,"Ritchie, Flatley and Morissette",0
REL7,Douglas LLC,0
LIN24,Stark - Gislason,0
ILS3,Bayer - Klein,0
SKE1,"Leannon, Bradtke and Goyette",0
8ST1,Leffler and Sons,0
SAF12,Beatty Group,0
DUL12,Abbott Inc,0
CAN15,Rosenbaum - Christiansen,0
ANI4,Kshlerin Group,0
SOU61,Marks LLC,0
tms88,"Fritsch, Dooley and Bernier",0
BEN10,"Prohaska, Shanahan and Paucek",0
FEL4,Bayer - Rohan,0
UTE2,Zieme - Stamm,0
SCH28,"Reichert, Douglas and Swift",1
BAY11,Brekke and Sons,0
FAS18,Dach and Sons,0
7542,"Kris, Sauer and Kiehn",1
TRU36,Kling Inc,0
GUA2,Langworth Group,0
EVA4,Graham - Ortiz,0
CAP15,"Cartwright, Shanahan and Von",0
AUS210,Johns and Sons,0
ASH6,"Metz, Mohr and Deckow",0
QHD2,Kling Group,0
TRU33,"Fadel, Rice and Schneider",0
MRS3,"Hilll, Zboncak and Morar",0
APE14,Kunze Inc,0
UNI39,O'Reilly LLC,0
BEX-IT,Abshire LLC,1
Mar-46,Stehr - Bartell,0
4614,Gislason Group,0
EVE17,"Bogan, Schneider and Koss",0
dia9,"Hills, Jacobs and Morissette",0
DEL15,"Breitenberg, Harber and Sauer",0
INT51,Leannon LLC,0
SUN12,Hessel - Bahringer,0
FDM1,Jast and Sons,0
THE62,Pollich - Schultz,0
SUL7,Pfannerstill Group,0
GHL1,Reynolds LLC,0
HAL10,Rippin and Sons,0
DRI7,"Parisian, Wiza and Armstrong",1
LIN25,"Hermiston, Feil and Braun",0
ILS1,MacGyver LLC,0
BUS9,"Feest, Legros and Mohr",0
CRY7,Buckridge - Halvorson,0
PDW2,Koepp - Feeney,0
JLG2,Littel - Hoppe,0
IPD2,Luettgen LLC,1
AUS206,Wiegand and Sons,0
SCBM,Steuber Inc,0
SBEVPUR,Miller LLC,0
520700,Dietrich - Jacobs,0
903600,Nicolas - Champlin,1
SOJ1,"Senger, Franecki and Klein",0
FLO13,"Vandervort, McKenzie and Beatty",0
GEO12,MacGyver - Rowe,1
SUP35,Bins - Hermiston,0
AUS208,Cassin LLC,0
EAS15,Wintheiser and Sons,1
TMS163,Roberts and Sons,0
SOU59,"Rowe, Bartoletti and Greenfelder",0
QMRCB,Zemlak and Sons,0
PAL5,"Hammes, Feil and Cummings",0
COU16,Harris - Thompson,0
COR13,Marks - Collins,0
WIS2,"Kunze, Bogisich and Jaskolski",0
ALT3045,Nolan Inc,1
3615,Terry - Hane,0
NOR17,"Murazik, Grant and Medhurst",0
KUE13,"McGlynn, Kulas and Bechtelar",1
PBA2,"Dach, Blanda and Hoeger",1
EFF64,Carter - Hand,0
GEN17,"Dibbert, Metz and Stehr",0
ROA6,King - Johnston,0
AQU16,Hagenes - Ebert,0
STY3,"Cummings, Stiedemann and Roob",0
GSL1,Mills - Hickle,0
DSV2,Koepp - Hickle,0
SUP36,Willms and Sons,0
PET18,Wehner LLC,0
PP-ALB,Ziemann - Farrell,0
SPI7,Beahan Inc,0
AUS189,Breitenberg - Gerlach,0
OZI1,"Feeney, Jacobi and Hintz",1
MCL4,Haley - Moen,0
BOC13,"Koelpin, Crooks and Kuphal",0
ILS2,Boehm LLC,0
QROCB,Jenkins - Bartoletti,0
FAS10,Rempel and Sons,0
ROA8,"Johnston, Swift and Gutkowski",0
CIA2,Legros and Sons,0
WOR17,Hane and Sons,0
MED12,Bradtke and Sons,0
FOR16,Turcotte - Champlin,0
LIG10,Oberbrunner - Reinger,0
HAG1,Olson Group,0
UES2,Bailey - Grant,0
RAV3,Block - Schiller,0
PRO84,Borer - Von,0
ALD7,Hammes Group,0
GOO8,Jerde - Keeling,0
YAM6,White - Towne,0
PGK1,Larson - Bednar,0
BLU11,Aufderhar - Bradtke,1
021E,Goldner - Weber,1
ROW2,"Schamberger, Altenwerth and Botsford",0
523500,"Crooks, Dooley and Will",0
1307,"Zulauf, Littel and Shanahan",1
BOC8,Feest - Jakubowski,0
GIB3,"Bradtke, Feest and Davis",0
CLA16,Gerhold - Trantow,0
YAM9,Haag Group,0
UPD1,Weissnat Inc,0
PIL1,"Pfeffer, DuBuque and Heathcote",1
