SenderLocationID,SenderSuburb,SenderState,SenderPostcode,SenderResidentialAddress
7051,MOOREBANK,NSW,2170,1
10880,KINGS PARK,NSW,2148,1
446,REGENTS PARK,NSW,2143,1
16119,TUGGERAH,NSW,2259,1
10,MELBOURNE AIRPORT,VIC,3045,1
2503,CHESTER HILL,NSW,2162,1
379429,BERESFIELD,NSW,2322,1
7046,SEVEN HILLS,NSW,2147,1
114176,WILSONTON,QLD,4350,1
774979,PERTH,WA,6000,1
11050,RICHLANDS,QLD,4077,1
41850,NOTTING HILL,VIC,3168,1
22,BELL PARK,VIC,3215,1
20,SALISBURY SOUTH,SA,5106,1
15097,WELSHPOOL,WA,6106,1
15093,CASUARINA,NT,810,1
15005,LONSDALE,SA,5160,1
661130,MATRAVILLE,NSW,2036,1
8116,SCORESBY,VIC,3179,1
16179,EDINBURGH,SA,5111,1
8454,UNDERWOOD,QLD,4119,1
2997,PRESTON,VIC,3072,1
15793,KINGS PARK,NSW,2148,1
15581,SALISBURY SOUTH,SA,5106,0
831110,WYONG,NSW,2259,1
2096,DANDENONG SOUTH,VIC,3175,1
8535,SCORESBY,VIC,3179,1
9,WETHERILL PARK,NSW,2164,1
11726,DUDLEY PARK,SA,5008,1
547669,RIVERSTONE,NSW,2765,1
3,UNDERWOOD,QLD,4119,1
14211,WINGFIELD,SA,5013,1
7398,ARCHERFIELD,QLD,4108,1
113389,ABBOTSFORD,NSW,2046,0
688,WANGARATTA,VIC,3677,1
15986,CASTLE HILL,NSW,2154,1
15166,EAGLE FARM,QLD,4009,1
9746,SMITHFIELD,NSW,2164,1
15692,MODBURY,SA,5092,1
12716,NOARLUNGA CENTRE,SA,5168,1
3208,KAWANA,QLD,4701,1
28534,WODONGA,VIC,3690,1
675,SOUTH ALBURY,NSW,2640,1
15943,BRENDALE,QLD,4500,1
5554,DANDENONG SOUTH,VIC,3175,1
8290,COORPAROO,QLD,4151,1
1,WELSHPOOL,WA,6106,1
245577,PINKENBA,QLD,4008,1
27900,HAMILTON,NSW,2303,1
773771,WINGFIELD,SA,5013,1
471721,RESERVOIR,VIC,3073,1
12402,BAYSWATER,WA,6053,1
38375,WINGFIELD,SA,5013,1
15168,ROYAL PARK,SA,5014,1
5,DANDENONG SOUTH,VIC,3175,1
658,DANDENONG SOUTH,VIC,3175,1
57621,HAMPTON,VIC,3188,1
15677,DANDENONG SOUTH,VIC,3175,1
1648,WEST GOSFORD,NSW,2250,1
14981,BELL PARK,VIC,3215,1
160044,NORTHBRIDGE,NSW,2063,1
15,CAMERON PARK,NSW,2285,1
159969,BERESFIELD,NSW,2322,1
182454,SOUTH MORANG,VIC,3752,0
517209,WODONGA,VIC,3690,1
774892,MOORABBIN,VIC,3189,1
4922,STAPYLTON,QLD,4207,1
2418,BEECHWORTH,VIC,3747,1
15282,CASTLE HILL,NSW,2154,1
20029,POINT COOK,VIC,3030,1
774780,BOWEN HILLS,QLD,4006,1
6544,SOUTH GRANVILLE,NSW,2142,1
6883,DARRA,QLD,4076,1
1647,DANDENONG,VIC,3175,1
15284,DELACOMBE,VIC,3356,0
15381,NAIRNE,SA,5252,1
13161,MURARRIE,QLD,4172,1
1093483,WELSHPOOL,WA,6106,1
1092684,CORIO,VIC,3214,1
380014,DANDENONG SOUTH,VIC,3175,1
7039,KESWICK TERMINAL,SA,5035,1
14193,HALLAM,VIC,3803,1
775975,TUGGERAH,NSW,2259,1
7045,BELMONT,WA,6104,1
15584,PORT MACQUARIE,NSW,2444,1
775219,ARUNDEL,QLD,4214,1
755,DERRIMUT,VIC,3026,1
38450,RICHMOND,SA,5033,1
628739,DANDENONG SOUTH,VIC,3175,1
15480,MILE END SOUTH,SA,5031,0
15804,MASCOT,NSW,2020,1
56288,MELBOURNE AIRPORT,VIC,3045,1
309,NORTH ALBURY,NSW,2640,1
777643,GREEN FIELDS,SA,5107,1
16255,BRENDALE,QLD,4500,1
15220,BOWEN HILLS,QLD,4006,1
3201,GARBUTT,QLD,4814,1
159898,DARLEY,VIC,3340,0
16156,DANDENONG SOUTH,VIC,3175,1
15169,WEST PERTH,WA,6005,1
348429,CARRUM DOWNS,VIC,3201,1
26585,HAMILTON EAST,NSW,2303,1
6,FYSHWICK,ACT,2609,1
234383,MANSFIELD,VIC,3722,0
15552,ROCKLEA,QLD,4106,1
152754,HAWTHORN EAST,VIC,3123,1
2484,WETHERILL PARK,NSW,2164,1
8448,ARNDELL PARK,NSW,2148,1
6015,CLAYTON SOUTH,VIC,3169,1
15473,OAKLANDS PARK,SA,5046,1
547306,PEAKHURST,NSW,2210,1
1256201,Wendouree,VIC,3355,1
28232,PORT MELBOURNE,VIC,3207,1
33873,MELBOURNE,VIC,3000,1
782563,FYSHWICK,ACT,2609,1
260565,SURREY HILLS,VIC,3127,1
29235,REGENCY PARK,SA,5010,1
459672,HALLAM,VIC,3803,1
5950,GEPPS CROSS,SA,5094,1
775980,EAST ARM,NT,822,1
11924,GILLMAN,SA,5013,1
15902,THEBARTON,SA,5031,1
547313,LEONAY,NSW,2750,0
