Invoice ID,ConsignmentNumber,InvoiceDate,SalesPostDate,SenderLocationID,ReceiverLocationID,PayingAccountCodeID,PreGSTCharge,TotalUnits,ServiceTypeID
73275209,HIT5000003063,6/9/22 0:00,00:00.0,7051,138295,HIT5,20.46,1,4
73419416,21619802,6/14/22 0:00,00:00.0,10880,777259,PLU4,40.79,5,4
73783350,HIT5000003288,6/21/22 0:00,00:00.0,7051,23812,HIT5,17.82,1,4
73624288,IFS605028,6/17/22 0:00,00:00.0,446,28339,419400,115.46,5,4
73866806,HIT5000003326,6/22/22 0:00,00:00.0,7051,36009,HIT5,17.82,2,4
73917398,HIT5000003341,6/23/22 0:00,00:00.0,7051,36007,HIT5,17.82,1,4
73842517,21905237,6/22/22 0:00,00:00.0,16119,16120,TRI18,12.7,1,4
74097889,FWPM259920-R,6/28/22 0:00,00:00.0,10,6070,FAS14,28.15,1,4
73083566,21413394,6/3/22 0:00,00:00.0,10,7084,HOM9,13.77,1,4
73224268,MYDL00053119-R,6/8/22 0:00,00:00.0,10,5938,MYD1,31.32,2,4
73350081,21567493,6/14/22 0:00,00:00.0,2503,2497,BOC98,343.77,4,2
73066389,21400472,6/3/22 0:00,00:00.0,379429,11053,SAQA,121.59,2,2
73005990,HLTA000003740,6/1/22 0:00,00:00.0,7046,3,HIL11,122.53,2,2
74134214,22111129,6/28/22 0:00,00:00.0,16119,16120,TRI18,12.7,1,4
74255652,HLTA000003987,6/30/22 0:00,00:00.0,7046,7045,HIL11,270.55,1,2
74228973,22167293,6/30/22 0:00,00:00.0,10,13483,TMS60,50.86,1,4
73180459,HIT5000002993,6/7/22 0:00,00:00.0,7051,17602,HIT5,57.46,3,4
73300392,21541421,6/10/22 0:00,00:00.0,114176,295289,COO10,969.72,4,2
73849805,HIT5000003312,6/22/22 0:00,00:00.0,7051,110963,HIT5,17.82,1,4
73954732,HIT5000003351,6/24/22 0:00,00:00.0,7051,23812,HIT5,23.42,2,4
73019263,BEGR000000788,6/2/22 0:00,00:00.0,774979,327552,BET13,23.82,4,4
73234238,HIT5000003031,6/8/22 0:00,00:00.0,7051,160880,HIT5,17.82,1,4
73896664,21939201,6/23/22 0:00,00:00.0,11050,26278,QMRCC,274.23,1,2
73048743,900489879,6/2/22 0:00,00:00.0,41850,775473,ROW3,98.47,1,2
73968106,HIT5000003360,6/24/22 0:00,00:00.0,7051,7068,HIT5,17.82,1,4
73903229,CPBOB5Z1116864-R,6/23/22 0:00,00:00.0,22,1050,COU12,9.77,1,4
73804888,HLTA000003897,6/21/22 0:00,00:00.0,7046,3,HIL11,122.53,2,2
73533639,21693268,6/16/22 0:00,00:00.0,20,773771,PALLET,0,22,2
73286883,FOR0000788017,6/9/22 0:00,00:00.0,15097,20,FOR24,132.16,1,2
73521527,HLTA000003846,6/15/22 0:00,00:00.0,7046,3,HIL11,122.53,2,2
73966737,900317784,6/24/22 0:00,00:00.0,15093,6273,TIC2,531.81,1,2
73359527,HLTA000003824,6/10/22 0:00,00:00.0,7046,1,HIL11,233.92,2,2
73426488,21625978,6/14/22 0:00,00:00.0,15005,295289,COO10,262.89,3,2
74539025,FAR8DNF2022,6/30/22 0:00,00:00.0,661130,661130,FAR8,570.4,0,4
73208789,HIT5000003025,6/7/22 0:00,00:00.0,7051,155836,HIT5,17.82,1,4
74071834,C900481597-1,6/27/22 0:00,00:00.0,8116,37992,LAU9,-44.91,0,2
73035187,104670272,6/3/22 0:00,00:00.0,16179,38897,8317,469.03,3,2
73848374,21909890,6/22/22 0:00,00:00.0,10880,777259,PLU4,64.03,9,4
73767078,LUXC21852732,6/21/22 0:00,00:00.0,8454,8448,LUX1,133.11,2,2
73005865,HLTA000003739,6/1/22 0:00,00:00.0,7046,1,HIL11,215.61,1,2
73972772,IFS605043,6/24/22 0:00,00:00.0,446,28339,419400,79.48,2,4
74175552,HIT5000003412,6/29/22 0:00,00:00.0,7051,18632,HIT5,17.82,1,4
73104036,900505713,6/3/22 0:00,00:00.0,2997,457506,BOC7,1103.09,3,2
73135924,21444507,6/6/22 0:00,00:00.0,15793,295289,COO10,657.93,4,2
73557823,104729668,6/17/22 0:00,00:00.0,15581,38897,8317,913.84,6,2
73960435,21981287,6/24/22 0:00,00:00.0,831110,38837,VAL16,169.82,1,2
73418016,21618535,6/14/22 0:00,00:00.0,2096,117376,BAM7,2591.88,7,2
73243363,HIT5000003040,6/8/22 0:00,00:00.0,7051,14662,HIT5,19.47,1,4
73721646,CMTHW22723-1,6/20/22 0:00,00:00.0,8535,8537,MAT7,-41.07,0,2
74210382,IPCR1008621-R,6/29/22 0:00,00:00.0,9,13278,TMA2,32.86,1,4
74130570,22108287,6/28/22 0:00,00:00.0,11726,11721,RIC3,20.97,2,4
72995837,21365993,6/1/22 0:00,00:00.0,547669,16264,JON8,61.56,7,4
73889787,21933060,6/23/22 0:00,00:00.0,3,4802,CYG1,73.09,2,2
73765964,21851723,6/21/22 0:00,00:00.0,9,5299,PALLET,0,6,2
73767019,YAMSA00804775,6/21/22 0:00,00:00.0,14211,60,YAM5,839.73,2,2
74251137,22184663,6/30/22 0:00,00:00.0,16119,2105,TRI18,12.7,1,4
73893475,21936443,6/23/22 0:00,00:00.0,7398,7377,IDE4,103.37,10,4
73319934,21547486,6/9/22 0:00,00:00.0,10,11851,SAA2,278.2,20,2
73682333,HIT5000003246,6/20/22 0:00,00:00.0,7051,773223,HIT5,17.82,1,4
73308124,21544080,6/10/22 0:00,00:00.0,113389,12616,STO17,34.22,1,4
73036521,104701737,6/3/22 0:00,00:00.0,688,676,8317,671.1,9,2
73135642,21444230,6/6/22 0:00,00:00.0,11050,276135,QCRSB,380.22,1,2
73971133,21989798,6/24/22 0:00,00:00.0,15005,295289,RED18,542.11,4,2
73102830,900489880,6/3/22 0:00,00:00.0,41850,775473,ROW3,108.13,1,2
73778890,IFS605038,6/21/22 0:00,00:00.0,446,28339,419400,389.13,1,2
73298969,21540638,6/9/22 0:00,00:00.0,15986,28512,ABB1,126.16,12,4
73841455,21904214,6/22/22 0:00,00:00.0,15166,57276,SCH32,82.8,1,2
74255565,22188497,6/30/22 0:00,00:00.0,10880,811256,PLU4,37.43,2,4
73274366,21521623,6/9/22 0:00,00:00.0,9746,13836,VNOPC,40.52,1,2
73752643,21840207,6/20/22 0:00,00:00.0,9,1179690,MEA5,115.75,0,2
74276488,HIT5000003458,6/30/22 0:00,00:00.0,7051,7068,HIT5,17.82,1,4
72985012,21358648,6/1/22 0:00,00:00.0,7398,7377,IDE4,20.99,1,4
73301519,900448898,6/9/22 0:00,00:00.0,15692,6273,TIC2,560.64,1,2
73878131,900545802,6/22/22 0:00,00:00.0,12716,6273,TIC2,392.47,1,2
73889120,21932690,6/23/22 0:00,00:00.0,3208,3213,COO10,299.39,1,2
